setting,value,energy_error_mean,energy_error_std,energy_error_min,runtime_mean_s,n_seeds
n_collocation,32,0.00039309263229370117,0.00010808024405610189,0.0002442002296447754,4.078696747333349,3
n_collocation,64,0.0003658135732014974,0.00010427990410436135,0.00023424625396728516,4.416566141000051,3
n_collocation,128,0.00035816431045532227,0.00010395878237869317,0.00023424625396728516,4.7984952753334555,3
n_collocation,256,0.00035689274470011395,0.00010129079809677202,0.000247955322265625,5.421734908333444,3
n_collocation,512,0.0003479917844136556,0.00010251879152318174,0.00023162364959716797,6.377488960999926,3
width,16,0.0005237261454264323,0.00012501175245606318,0.000359952449798584,5.193036130999947,3
width,32,0.0003479917844136556,0.00010251879152318174,0.00023162364959716797,6.245613486666723,3
width,64,0.010374108950297037,0.0038166415245303167,0.005810797214508057,8.421790973333373,3
width,128,0.4084465702374776,0.0428720890652966,0.3529946804046631,12.23835464966684,3
depth,2,0.0004150867462158203,4.013887890938638e-05,0.0003833174705505371,4.889994683666676,3
depth,3,0.0003479917844136556,0.00010251879152318174,0.00023162364959716797,6.247881507666686,3
depth,4,0.0002503395080566406,2.2022175354435006e-05,0.00022047758102416992,8.221064007333249,3
epochs,500,0.06353314717610677,0.024934315539188023,0.031062662601470947,1.573404759999903,3
epochs,1000,0.0014622211456298828,0.0005213896260287069,0.0010302066802978516,3.0352562023334335,3
epochs,2000,0.0003479917844136556,0.00010251879152318174,0.00023162364959716797,6.118430000333471,3
epochs,4000,6.20881716410319e-05,2.3462048520715786e-05,3.522634506225586e-05,12.771558198333423,3
